current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
1.52667e+06,1.5,-79.1576,1.29165e-05,-79.4947,1.28528e-05,-73.4113,1.20043e-05,-73.4041,1.20114e-05,-24.9388,6.22705e-08 ,3,0,11.5426,2,1,50373,79.1576,1.29165e-05,29.617,1.27282e-05,-24.9388,-6.22705e-08,1,0.0015,0.0015,-100.914,100.914,0
1.52667e+06,1.5,-7.76389,0.000754979,-8.11302,0.000751356,-7.4311,0.000701921,-7.38813,0.000702318,-25.3536,1.66894e-05 ,3,0,12.8355,2,16,51605,7.76389,0.000754979,-42.5941,0.000717977,-25.3536,-1.66894e-05,1,0.0015,0.0015,-17.4781,17.4781,0
1.35704e+06,1.5,-144.52,6.90322e-06,-144.776,6.86946e-06,-134.059,6.41405e-06,-134.117,6.41784e-06,-21.9486,2.35503e-08 ,3,0,11.1295,2,0,46861,144.52,6.90322e-06,100.879,6.82236e-06,-21.9486,-2.35503e-08,1,0.0015,0.0015,-177.78,177.78,0
1.35704e+06,1.5,-78.5294,1.29085e-05,-78.8276,1.28447e-05,-72.8026,1.19968e-05,-72.8002,1.20038e-05,-22.1675,5.53248e-08 ,3,0,10.3088,2,1,50373,78.5294,1.29084e-05,34.4927,1.2734e-05,-22.1675,-5.53248e-08,1,0.0015,0.0015,-99.2004,99.2004,0
1.35704e+06,1.5,-7.03374,0.000752976,-7.3441,0.000749334,-6.72749,0.000700042,-6.68933,0.000700441,-22.5364,1.48051e-05 ,3,0,10.3026,2,16,51605,7.03374,0.000752976,-37.7287,0.000719724,-22.5364,-1.48051e-05,1,0.0015,0.0015,-15.6883,15.6883,0
1.18741e+06,1.5,-143.953,6.89975e-06,-144.171,6.86597e-06,-133.507,6.4108e-06,-133.57,6.41459e-06,-19.2046,2.05984e-08 ,3,0,10.7025,2,0,46861,143.953,6.89974e-06,105.761,6.82475e-06,-19.2046,-2.05984e-08,1,0.0015,0.0015,-176.112,176.112,0
1.18741e+06,1.5,-77.9013,1.29004e-05,-78.1607,1.28366e-05,-72.1941,1.19892e-05,-72.1964,1.19963e-05,-19.3962,4.83858e-08 ,3,0,9.62129,2,1,50373,77.9013,1.29004e-05,39.3683,1.27398e-05,-19.3962,-4.83858e-08,1,0.0015,0.0015,-97.4872,97.4872,0
1.18741e+06,1.5,-6.30363,0.000750974,-6.57521,0.000747315,-6.02392,0.000698165,-5.99055,0.000698566,-19.7193,1.29283e-05 ,3,0,9.23033,2,16,51605,6.30363,0.000750974,-32.8634,0.000721458,-19.7193,-1.29283e-05,1,0.0015,0.0015,-13.8985,13.8985,0
1.01778e+06,1.5,-143.386,6.89628e-06,-143.565,6.86246e-06,-132.956,6.40754e-06,-133.024,6.41133e-06,-16.4607,1.76488e-08 ,3,0,8.17111,2,0,46861,143.386,6.89626e-06,110.644,6.82715e-06,-16.4607,-1.76488e-08,1,0.0015,0.0015,-174.445,174.445,0
1.01778e+06,1.5,-77.2734,1.28924e-05,-77.4939,1.28285e-05,-71.5857,1.19817e-05,-71.5927,1.19888e-05,-16.625,4.14534e-08 ,3,0,9.45902,2,1,50373,77.2734,1.28924e-05,44.2438,1.27456e-05,-16.625,-4.14534e-08,1,0.0015,0.0015,-95.774,95.774,0
