current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
1.35704e+06,1.5,-2.07422,-4.80532e-12,-2.38758,-4.90137e-12,-2.11091,-4.78222e-12,-2.07514,-4.79301e-12,-20.5753,-2.4364e-14 ,3,0,1.87244,2,0,16161,2.07422,-6.17555e-12,-38.7629,-6.1386e-12,-20.5753,-2.56753e-14,1,0.0015,0.0015,-11.864,11.864,1
1.52667e+06,1.5,-3.89566,1.50893e-13,-4.24747,1.84706e-13,-3.83367,-4.07771e-13,-3.79188,-4.34354e-13,-23.935,-6.37417e-15 ,3,0,2.05299,2,1,19865,3.89566,2.54371e-12,-43.6225,2.44009e-12,-23.935,-8.76854e-15,1,0.0015,0.0015,-14.3463,14.3463,1
1.18741e+06,1.5,-1.81494,-6.34257e-12,-2.08914,-6.32483e-12,-1.84705,-4.80779e-12,-1.81575,-4.77229e-12,-18.0034,-1.96066e-14 ,3,0,1.12008,2,0,16161,1.81494,-1.53168e-11,-33.9176,-1.51985e-11,-18.0034,-1.96609e-14,1,0.0015,0.0015,-10.381,10.381,1
1.86593e+06,1.5,-7.90119,2.35821e-11,-8.32793,2.4701e-11,-7.61767,2.29578e-11,-7.56492,2.28503e-11,-30.9111,7.88825e-11 ,3,0,2.59471,2,16,21605,7.90119,4.82129e-11,-53.4942,-1.08471e-10,-30.9111,-7.88898e-11,1,0.0015,0.0015,-19.6058,19.6058,1
1.35704e+06,1.5,-3.46281,-5.20801e-12,-3.77553,-5.24397e-12,-3.4077,-4.5552e-12,-3.37056,-4.55385e-12,-21.2755,-8.66001e-15 ,3,0,1.37607,2,1,19865,3.46281,1.24899e-11,-38.7756,1.23045e-11,-21.2755,-9.94234e-15,1,0.0015,0.0015,-12.7523,12.7523,1
1.01778e+06,1.5,-1.55566,-2.8453e-12,-1.79069,-2.91934e-12,-1.58319,-2.87017e-12,-1.55636,-2.94421e-12,-15.4314,-1.76976e-14 ,3,0,1.79878,2,0,16161,1.55566,-5.71016e-12,-29.0722,-5.85566e-12,-15.4314,-1.9185e-14,1,0.0015,0.0015,-8.89798,8.89798,1
1.18741e+06,1.5,-3.02996,-2.55261e-12,-3.30359,-2.56252e-12,-2.98174,-2.83505e-12,-2.94924,-2.80055e-12,-18.6161,2.75238e-16 ,3,0,1.90412,2,1,19865,3.02996,-1.72367e-12,-33.9286,-1.6966e-12,-18.6161,-3.33586e-15,1,0.0015,0.0015,-11.1582,11.1582,1
1.6963e+06,1.5,-7.1829,5.19301e-12,-7.57085,6.10731e-12,-6.92516,5.46524e-12,-6.8772,5.36529e-12,-28.101,6.52035e-11 ,3,0,2.72877,2,16,21605,7.1829,3.16053e-11,-48.6311,-9.78938e-11,-28.101,-6.51905e-11,1,0.0015,0.0015,-17.8234,17.8234,1
848148,1.5,-1.29639,-3.92778e-12,-1.49224,-3.88926e-12,-1.31932,-3.22079e-12,-1.29696,-3.23556e-12,-12.8595,-4.18173e-15 ,3,0,1.24887,2,0,16161,1.29639,-7.53755e-12,-24.2268,-7.57443e-12,-12.8595,-5.91874e-15,1,0.0015,0.0015,-7.41499,7.41499,1
1.01778e+06,1.5,-2.59711,7.92301e-12,-2.83165,7.92758e-12,-2.55578,7.788e-12,-2.52792,7.7535e-12,-15.9567,-1.09395e-14 ,3,0,1.85592,2,1,19865,2.59711,8.075e-12,-29.0817,7.97339e-12,-15.9567,-1.27093e-14,1,0.0015,0.0015,-9.56421,9.56421,1
678518,1.5,-1.03711,1.86726e-12,-1.19379,1.76427e-12,-1.05546,1.51198e-12,-1.03757,1.38413e-12,-10.2876,-7.48043e-15 ,3,0,1.82811,2,0,16161,1.03711,-9.26818e-12,-19.3815,-9.3486e-12,-10.2876,-7.64018e-15,1,0.0015,0.0015,-5.93199,5.93199,1
1.52667e+06,1.5,-6.46461,1.3142e-11,-6.81376,1.38684e-11,-6.23264,1.22493e-11,-6.18948,1.21508e-11,-25.2909,5.28099e-11 ,3,0,2.73781,2,16,21605,6.46461,3.78776e-11,-43.768,-6.70117e-11,-25.2909,-5.28071e-11,1,0.0015,0.0015,-16.0411,16.0411,1
508889,1.5,-0.777832,3.0644e-12,-0.895346,2.87333e-12,-0.791593,3.08572e-12,-0.778178,2.97991e-12,-7.71572,-1.16718e-14 ,3,0,1.12848,2,0,16161,0.777832,-9.82617e-12,-14.5361,-9.92822e-12,-7.71572,-1.17987e-14,1,0.0015,0.0015,-4.44899,4.44899,1
848148,1.5,-2.16425,3.85205e-12,-2.35971,3.94257e-12,-2.12981,1.9851e-12,-2.1066,1.9797e-12,-13.2972,-4.95411e-15 ,3,0,1.59369,2,1,19865,2.16425,-6.01466e-12,-24.2347,-6.01988e-12,-13.2972,-6.89979e-15,1,0.0015,0.0015,-7.97017,7.97017,1
339259,1.5,-0.518555,-4.17305e-12,-0.596897,-4.16956e-12,-0.527729,-4.1766e-12,-0.518786,-4.14646e-12,-5.14382,-4.22284e-15 ,3,0,2.012,2,0,16161,0.518555,-9.8333e-12,-9.69073,-9.97163e-12,-5.14382,-4.50126e-15,1,0.0015,0.0015,-2.96599,2.96599,1
678518,1.5,-1.7314,6.10516e-12,-1.88777,6.04386e-12,-1.70385,5.16547e-12,-1.68528,5.16989e-12,-10.6378,-8.79621e-15 ,3,0,2.38601,2,1,19865,1.7314,-2.50825e-12,-19.3878,-2.5672e-12,-10.6378,-9.57832e-15,1,0.0015,0.0015,-6.37614,6.37614,1
1.35704e+06,1.5,-5.74632,9.67424e-12,-6.05668,1.02753e-11,-5.54013,1.00855e-11,-5.50176,1.00142e-11,-22.4808,4.17294e-11 ,3,0,2.99822,2,16,21605,5.74632,2.6954e-11,-38.9049,-5.59655e-11,-22.4808,-4.1724e-11,1,0.0015,0.0015,-14.2588,14.2588,1
169630,1.5,-0.259277,6.05555e-12,-0.298449,6.15142e-12,-0.263864,6.63642e-12,-0.259393,6.61327e-12,-2.57191,-1.74965e-15 ,3,0,1.19118,2,0,16161,0.259277,-7.69546e-12,-4.84537,-7.83625e-12,-2.57191,-1.92519e-15,1,0.0015,0.0015,-1.483,1.483,1
508889,1.5,-1.29855,-1.04829e-12,-1.41582,-1.06253e-12,-1.27789,-2.94278e-12,-1.26396,-2.94813e-12,-7.97833,-5.04103e-15 ,3,0,1.66955,2,1,19865,1.29855,3.58496e-12,-14.5408,3.4628e-12,-7.97833,-5.93758e-15,1,0.0015,0.0015,-4.7821,4.7821,1
0,1.5,-8.33715e-13,-3.01132e-12,-9.23022e-12,-2.94603e-12,1.06699e-12,-3.56555e-12,-5.62688e-12,-3.65479e-12,0,0 ,3,0,1.70163,2,0,16161,-1.98268e-12,-1.22966e-11,-2.27082e-12,-1.23651e-11,0,0,1,0.0015,0.0015,2.84217e-13,2.55795e-12,1
1.18741e+06,1.5,-5.02803,2.60477e-12,-5.2996,3.08417e-12,-4.84761,3.89318e-12,-4.81404,3.83362e-12,-19.6707,3.19459e-11 ,3,0,4.06254,2,16,21605,5.02803,3.27284e-11,-34.0418,-3.0736e-11,-19.6707,-3.19467e-11,1,0.0015,0.0015,-12.4764,12.4764,1
339259,1.5,-0.865702,-6.96723e-12,-0.943883,-6.9521e-12,-0.851926,-7.41309e-12,-0.842642,-7.40862e-12,-5.31889,-7.24027e-15 ,3,0,2.61409,2,1,19865,0.865702,-8.21074e-12,-9.69389,-8.17735e-12,-5.31889,-7.99175e-15,1,0.0015,0.0015,-3.18807,3.18807,1
2.54444e+06,1.4,-0.369625,-1.61264e-12,-0.960934,-1.70808e-12,-0.65294,-2.03719e-12,-0.586967,-2.05624e-12,-36.408,4.80157e-14 ,3,0,2.46513,2,0,16161,0.369625,-5.77605e-12,-71.8551,-5.84106e-12,-36.408,4.6075e-14,1,0.0015,0.0015,-20.5955,20.5955,1
169630,1.5,-0.432851,5.39674e-12,-0.471942,5.44855e-12,-0.425963,4.34158e-12,-0.421321,4.33833e-12,-2.65944,-1.70825e-15 ,3,0,2.04163,2,1,19865,0.432851,-5.44564e-12,-4.84695,-5.44109e-12,-2.65944,-1.75691e-15,1,0.0015,0.0015,-1.59403,1.59403,1
2.37481e+06,1.4,-0.344987,9.44363e-13,-0.896876,9.31433e-13,-0.609413,7.27647e-13,-0.547839,6.93401e-13,-33.9808,6.09655e-14 ,3,0,2.33482,2,0,16161,0.344987,-1.01879e-11,-67.0647,-1.00793e-11,-33.9808,5.90134e-14,1,0.0015,0.0015,-19.2225,19.2225,1
1.01778e+06,1.5,-4.30974,7.64672e-12,-4.54251,8.00066e-12,-4.1551,6.18989e-12,-4.12632,6.15314e-12,-16.8606,2.34723e-11 ,3,0,3.28667,2,16,21605,4.30974,1.15612e-11,-29.1787,-3.50792e-11,-16.8606,-2.34697e-11,1,0.0015,0.0015,-10.6941,10.6941,1
0,1.5,8.03387e-13,-1.91941e-12,-1.52824e-11,-1.91078e-12,4.16585e-13,-2.5056e-12,-1.46365e-11,-2.51829e-12,0,0 ,3,0,1.66296,2,1,19865,-7.89054e-12,-9.12485e-13,1.38267e-12,-9.29874e-13,0,0,1,0.0015,0.0015,2.04636e-12,2.16005e-12,1
2.20518e+06,1.4,-0.320349,-5.38325e-12,-0.832817,-5.3332e-12,-0.565886,-5.60352e-12,-0.50871,-5.57478e-12,-31.5536,5.68604e-14 ,3,0,1.19451,2,0,16161,0.320349,-1.2196e-11,-62.2744,-1.21308e-11,-31.5536,5.60471e-14,1,0.0015,0.0015,-17.8494,17.8494,1
848148,1.5,-3.59145,1.1654e-11,-3.78543,1.19239e-11,-3.46258,1.07958e-11,-3.4386,1.07645e-11,-14.0505,1.63043e-11 ,3,0,2.09294,2,16,21605,3.59145,1.08404e-11,-24.3156,-2.15378e-11,-14.0505,-1.62958e-11,1,0.0015,0.0015,-8.91172,8.91172,1
2.03555e+06,1.4,-0.29571,1.86228e-12,-0.768758,1.84001e-12,-0.522359,1.93334e-12,-0.469581,1.85777e-12,-29.1264,5.28117e-14 ,3,0,1.40422,2,0,16161,0.29571,-1.21077e-11,-57.484,-1.20357e-11,-29.1264,5.04217e-14,1,0.0015,0.0015,-16.4764,16.4764,1
2.54444e+06,1.4,-3.04472,3.61391e-13,-3.63564,3.52909e-13,-3.15272,-8.74953e-13,-3.08402,-9.21627e-13,-37.7036,3.3269e-14 ,3,0,2.87208,2,1,19865,3.04472,7.94515e-12,-71.7716,8.00908e-12,-37.7036,3.11509e-14,1,0.0015,0.0015,-22.2042,22.2042,1
1.86593e+06,1.4,-0.271071,-4.19088e-12,-0.704698,-4.29037e-12,-0.478831,-3.38086e-12,-0.430451,-3.43061e-12,-26.6992,3.63194e-14 ,3,0,1.94544,2,0,16161,0.271071,-6.05587e-12,-52.6937,-6.04956e-12,-26.6992,3.40136e-14,1,0.0015,0.0015,-15.1034,15.1034,1
2.37481e+06,1.4,-2.84174,3.18211e-12,-3.39327,3.20541e-12,-2.94254,3.03645e-12,-2.87842,3.02422e-12,-35.19,4.86078e-14 ,3,0,2.25817,2,1,19865,2.84174,9.37428e-12,-66.9868,9.48914e-12,-35.19,4.45117e-14,1,0.0015,0.0015,-20.7239,20.7239,1
678518,1.5,-2.87316,2.32618e-12,-3.02834,2.44646e-12,-2.77006,5.98341e-13,-2.75088,5.83446e-13,-11.2404,1.04336e-11 ,3,0,3.64787,2,16,21605,2.87316,1.82027e-11,-19.4525,-2.56634e-12,-11.2404,-1.04291e-11,1,0.0015,0.0015,-7.12938,7.12938,1
1.6963e+06,1.4,-0.24643,1.09598e-12,-0.640637,1.10982e-12,-0.435302,1.906e-12,-0.391321,1.91629e-12,-24.272,3.89766e-14 ,3,0,1.58634,2,0,16161,0.24643,-9.03434e-12,-47.9034,-8.93989e-12,-24.272,3.71527e-14,1,0.0015,0.0015,-13.7303,13.7303,1
1.52667e+06,1.4,-0.221789,4.92771e-13,-0.576575,4.63713e-13,-0.391773,-2.46194e-13,-0.35219,-3.67622e-13,-21.8448,4.02826e-14 ,3,0,1.65455,2,0,16161,0.221789,-5.20783e-12,-43.113,-5.00745e-12,-21.8448,3.97821e-14,1,0.0015,0.0015,-12.3573,12.3573,1
2.20518e+06,1.4,-2.63876,2.83804e-13,-3.15089,2.20289e-13,-2.73236,1.29261e-13,-2.67282,1.2703e-13,-32.6765,6.03322e-14 ,3,0,2.31869,2,1,19865,2.63876,1.37694e-11,-62.202,1.38248e-11,-32.6765,5.48578e-14,1,0.0015,0.0015,-19.2436,19.2436,1
508889,1.5,-2.15487,7.76576e-12,-2.27126,7.82098e-12,-2.07755,6.88091e-12,-2.06316,6.88007e-12,-8.4303,5.86707e-12 ,3,0,3.3169,2,16,21605,2.15487,2.89454e-11,-14.5893,1.73095e-11,-8.4303,-5.86702e-12,1,0.0015,0.0015,-5.34703,5.34703,1
1.35704e+06,1.4,-0.197147,-4.83007e-12,-0.512513,-4.75135e-12,-0.348244,-2.94713e-12,-0.313059,-2.90039e-12,-19.4176,3.64796e-14 ,3,0,1.98092,2,0,16161,0.197147,-1.27145e-11,-38.3227,-1.277e-11,-19.4176,3.44384e-14,1,0.0015,0.0015,-10.9843,10.9843,1
2.03555e+06,1.4,-2.43578,5.88416e-12,-2.90852,5.86137e-12,-2.52218,5.2953e-12,-2.46722,5.32313e-12,-30.1629,5.32359e-14 ,3,0,2.50889,2,1,19865,2.43578,-9.62622e-13,-57.4173,-8.99416e-13,-30.1629,4.95367e-14,1,0.0015,0.0015,-17.7634,17.7634,1
1.18741e+06,1.4,-0.172505,-7.8289e-12,-0.44845,-7.92858e-12,-0.304714,-6.78973e-12,-0.273927,-6.78106e-12,-16.9904,4.05064e-14 ,3,0,1.10506,2,0,16161,0.172505,-9.13366e-13,-33.5324,-1.00563e-12,-16.9904,3.90186e-14,1,0.0015,0.0015,-9.61122,9.61122,1
339259,1.5,-1.43658,-1.3909e-12,-1.51417,-1.35823e-12,-1.38503,-1.68544e-12,-1.37544,-1.6873e-12,-5.6202,2.61019e-12 ,3,0,2.16277,2,16,21605,1.43658,1.43601e-11,-9.72623,9.17156e-12,-5.6202,-2.60597e-12,1,0.0015,0.0015,-3.56469,3.56469,1
1.01778e+06,1.4,-0.147862,-5.35881e-12,-0.384386,-5.55426e-12,-0.261184,-5.04973e-12,-0.234795,-5.08708e-12,-14.5632,2.95052e-14 ,3,0,1.38567,2,0,16161,0.147862,3.2579e-14,-28.742,-1.83621e-13,-14.5632,2.84281e-14,1,0.0015,0.0015,-8.23819,8.23819,1
1.86593e+06,1.4,-2.2328,-2.37729e-12,-2.66614,-2.36687e-12,-2.312,-2.68815e-12,-2.26162,-2.63688e-12,-27.6493,3.74405e-14 ,3,0,1.91393,2,1,19865,2.2328,4.23389e-12,-52.6325,4.20646e-12,-27.6493,3.45763e-14,1,0.0015,0.0015,-16.2831,16.2831,1
848148,1.4,-0.123219,-7.25418e-12,-0.320323,-7.24206e-12,-0.217654,-5.72296e-12,-0.195663,-5.71795e-12,-12.136,1.36676e-14 ,3,0,1.28774,2,0,16161,0.123219,-1.37111e-12,-23.9517,-1.32595e-12,-12.136,1.31329e-14,1,0.0015,0.0015,-6.86516,6.86516,1
169630,1.5,-0.718291,2.96067e-12,-0.757085,2.9726e-12,-0.692516,3.56796e-12,-0.68772,3.56507e-12,-2.8101,6.52051e-13 ,3,0,2.22915,2,16,21605,0.718291,1.35346e-11,-4.86311,1.22123e-11,-2.8101,-6.5164e-13,1,0.0015,0.0015,-1.78234,1.78234,1
1.6963e+06,1.4,-2.02982,7.39567e-12,-2.42377,7.37042e-12,-2.10182,8.66577e-12,-2.05602,8.66006e-12,-25.1357,5.42404e-14 ,3,0,1.51383,2,1,19865,2.02982,6.88437e-12,-47.8477,6.9787e-12,-25.1357,4.93404e-14,1,0.0015,0.0015,-14.8028,14.8028,1
678518,1.4,-0.0985758,-1.6763e-12,-0.256258,-1.71412e-12,-0.174123,-1.69051e-12,-0.156531,-1.71767e-12,-9.7088,6.43532e-15 ,3,0,1.23674,2,0,16161,0.0985758,-5.50906e-13,-19.1614,-6.05119e-13,-9.7088,6.73133e-15,1,0.0015,0.0015,-5.49213,5.49213,1
1.52667e+06,1.4,-1.82684,-6.76372e-13,-2.18139,-7.78207e-13,-1.89164,-9.09963e-13,-1.85042,-9.31862e-13,-22.6222,5.49279e-14 ,3,0,1.62381,2,1,19865,1.82684,2.24569e-12,-43.0629,2.30444e-12,-22.6222,5.3134e-14,1,0.0015,0.0015,-13.3225,13.3225,1
0,1.5,-2.62813e-12,2.82914e-12,1.32935e-11,2.89489e-12,-1.16824e-12,2.37472e-12,1.53102e-11,2.3692e-12,0,0 ,3,0,2.26397,2,16,21605,-1.42078e-12,1.96114e-11,-9.52083e-12,1.95326e-11,0,0,1,0.0015,0.0015,4.718e-12,4.88853e-12,1
508889,1.4,-0.0739321,4.40182e-12,-0.192194,4.40788e-12,-0.130593,4.60788e-12,-0.117398,4.54466e-12,-7.2816,1.15837e-14 ,3,0,1.22224,2,0,16161,0.0739321,-6.54887e-12,-14.371,-6.573e-12,-7.2816,1.18014e-14,1,0.0015,0.0015,-4.1191,4.1191,1
1.35704e+06,1.4,-1.62386,-2.38291e-12,-1.93902,-2.36743e-12,-1.68146,-1.77006e-12,-1.64482,-1.78567e-12,-20.1086,2.10084e-14 ,3,0,1.46771,2,1,19865,1.62386,-1.43811e-12,-38.2782,-1.36762e-12,-20.1086,1.89651e-14,1,0.0015,0.0015,-11.8422,11.8422,1
339259,1.4,-0.0492882,1.48228e-12,-0.12813,1.45226e-12,-0.0870617,2.0294e-12,-0.0782655,1.98694e-12,-4.8544,1.15444e-14 ,3,0,1.31818,2,0,16161,0.0492882,-7.37616e-12,-9.58068,-7.42487e-12,-4.8544,1.09223e-14,1,0.0015,0.0015,-2.74606,2.74606,1
2.54444e+06,1.4,-7.44356,2.10425e-11,-8.03106,2.32258e-11,-7.2638,1.90591e-11,-7.1926,1.87933e-11,-39.943,1.48947e-10 ,3,0,2.33035,2,16,21605,7.44356,4.79383e-11,-71.855,-2.47708e-10,-39.943,-1.48911e-10,1,0.0015,0.0015,-24.9454,24.9454,1
