current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic,integral_force,integral_force2,diff,diff2,diff inverted,diff inverted 2
0,0.3,-2.30474,0.00000777863,-2.30345,0.00000777334,-2.10584,0.00000724232,-2.10602,0.0000072428,0,0,3,0,7.84248,2,4,48445,2.30474,0.00000777863,2.30345,0.00000777334,0,0,1,0.0015,0.0015,-2.30968,2.30968,0,-2.30968,2.30968,0,0,-4.61936,4.61936
0,0.3,-0.697183,0.0000269284,-0.696792,0.0000269098,-0.63625,0.0000250752,-0.636296,0.0000250769,0,0,3,0,5.36999,2,8,49589,0.697183,0.0000269284,0.696792,0.0000269098,0,0,1,0.0015,0.0015,-0.696054,0.696054,0,-0.696054,0.696054,0,0,-1.392108,1.392108
0,0.3,-0.152558,0.000113328,-0.152473,0.00011325,-0.139142,0.000105536,-0.139152,0.000105543,0,0,3,0,3.81425,2,16,51605,0.152558,0.000113328,0.152473,0.00011325,0,0,1,0.0015,0.0015,-0.152017,0.152017,0,-0.152017,0.152017,0,0,-0.304034,0.304034
0,0.4,-27.0317,0.00000157779,-27.0086,0.00000157614,-24.8823,0.00000146737,-24.8876,0.00000146753,0,0,3,0,3.59319,2,0,46861,27.0317,0.00000157779,27.0086,0.00000157614,0,0,1,0.0015,0.0015,-28.088,28.088,0,-28.088,28.088,0,0,-56.176,56.176
0,0.4,-14.6362,0.00000303236,-14.624,0.00000302911,-13.4251,0.00000282204,-13.4274,0.00000282235,0,0,3,0,6.71888,2,1,50373,14.6362,0.00000303236,14.624,0.00000302911,0,0,1,0.0015,0.0015,-15.0731,15.0731,0,-15.0731,15.0731,0,0,-30.1462,30.1462
0,0.4,-8.717,0.00000523464,-8.70979,0.00000522895,-7.98117,0.00000487302,-7.98235,0.00000487355,0,0,3,0,7.32874,2,2,50373,8.717,0.00000523464,8.70979,0.00000522895,0,0,1,0.0015,0.0015,-8.92944,8.92944,0,-8.92944,8.92944,0,0,-17.85888,17.85888
0,0.4,-3.77916,0.0000125952,-3.77606,0.0000125812,-3.4542,0.0000117278,-3.45464,0.0000117291,0,0,3,0,5.49122,2,4,48445,3.77916,0.0000125952,3.77606,0.0000125812,0,0,1,0.0015,0.0015,-3.85064,3.85064,0,-3.85064,3.85064,0,0,-7.70128,7.70128
0,0.4,-1.14147,0.0000435237,-1.14054,0.0000434749,-1.0421,0.0000405318,-1.04222,0.0000405363,0,0,3,0,4.24427,2,8,49589,1.14147,0.0000435237,1.14054,0.0000434749,0,0,1,0.0015,0.0015,-1.15887,1.15887,0,-1.15887,1.15887,0,0,-2.31774,2.31774
0,0.4,-0.249582,0.000182996,-0.249379,0.00018279,-0.227724,0.000170428,-0.227748,0.000170447,0,0,3,0,4.81547,2,16,51605,0.249582,0.000182996,0.249379,0.00018279,0,0,1,0.0015,0.0015,-0.25292,0.25292,0,-0.25292,0.25292,0,0,-0.50584,0.50584
0,0.5,-38.9008,0.00000223575,-38.858,0.00000223243,-35.8176,0.00000207951,-35.8282,0.00000207984,0,0,3,0,4.45651,2,0,46861,38.9008,0.00000223575,38.858,0.00000223243,0,0,1,0.0015,0.0015,-41.0606,41.0606,0,-41.0606,41.0606,0,0,-82.1212,82.1212
0,0.5,-20.979,0.00000427946,-20.9567,0.00000427295,-19.251,0.00000398293,-19.2555,0.00000398355,0,0,3,0,3.79472,2,1,50373,20.979,0.00000427946,20.9567,0.00000427295,0,0,1,0.0015,0.0015,-21.9482,21.9482,0,-21.9482,21.9482,0,0,-43.8964,43.8964
