current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic
2.12037e+06,1.5,-3.24095,-4.11008e-11,-3.73059,-4.89121e-11,-3.2983,-3.07234e-11,-3.24239,-3.68613e-11,-32.1488,1.57306e-13 ,3,0,46.5946,2,0,16161,3.24095,-2.37904e-11,-60.5671,-3.18104e-11,-32.1488,-1.24944e-13,1,0.0015,0.0015,-18.5375,18.5375,1
2.12037e+06,1.5,-5.41063,1.94565e-11,-5.89926,2.07679e-11,-5.32453,1.9579e-11,-5.2665,2.05387e-11,-33.243,-5.74848e-14 ,3,0,60.3846,2,1,19865,5.41063,3.39625e-11,-60.5868,3.53736e-11,-33.243,5.57518e-14,1,0.0015,0.0015,-19.9254,19.9254,1
2.12037e+06,1.5,-8.97863,1.75614e-09,-9.46356,1.76371e-09,-8.65645,1.45723e-09,-8.5965,1.45746e-09,-35.1262,1.05169e-10 ,3,0,62.8235,2,16,21605,8.97863,1.75656e-09,-60.7889,1.55383e-09,-35.1262,-1.05172e-10,1,0.0015,0.0015,-22.2793,22.2793,1
